individual,Specimen,Lat,Long,year,2011 Bin sch. 1,2011 Bin sch. 2,2011 Bin sch. 3,Spinks group (prelim),,Parham sex,Buskirk sex,prelim sex bin,notes,,Specimens are in the order in which they appear in the TPS file.,
473,KDA 0041,35.14346667,120.0266833,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
474,KDA 0042,35.14346667,120.0266833,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
475,KDA 0043,35.14346667,120.0266833,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
476,KDA 0044,35.14346667,120.0266833,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
477,KDA 0045,35.14346667,120.0266833,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
478,KDA 0046,35.14346667,120.0266833,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
479,KDA 0047,35.14346667,120.0266833,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
480,KDA 0048,35.14346667,120.0266833,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
481,KDA 0049,35.14346667,120.0266833,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
482,KDA 0051,35.14346667,120.0266833,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
483,KDA 0052,35.14346667,120.0266833,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
484,KDA 0053,35.14346667,120.0266833,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
485,KDA 0054,35.14346667,120.0266833,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
486,KDA 0055,35.14346667,120.0266833,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
487,KDA 0056,35.14346667,120.0266833,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
488,KDA 0057,35.14346667,120.0266833,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
489,KDA 0058,35.14346667,120.0266833,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
490,KDA 0059,35.14346667,120.0266833,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
491,KDA 0060,35.14346667,120.0266833,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
492,KDA 0061,35.14346667,120.0266833,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
493,KDA 0062,35.14346667,120.0266833,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
494,KDA 0063,35.14346667,120.0266833,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
495,KDA 0040,35.14346667,120.0266833,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
496,KDA 0050,35.14346667,120.0266833,,CCR,CCR,CCR,1?,1,,,,Chimeneas Ranch,,,
497,MSE 05-24,34.767488,120.522617,,CCR,CCR,CCR,3?,3,,,,"Punchbowl Pond, Vandenberg AFB",,,
498,MSE 93-153,34.997639,120.333128,,CCR,CCR,CCR,1?,1,,,,"Tiwtchell Reservoir, SLO Co.",,,
499,MSE 95-82,34.295525,119.306505,,CCR,CCR,CCR,3?,3,f,,,"Ventura River, 1.5 miles N. of Ocean",,,
500,MSE 95-93,34.783875,120.539884,,CCR,CCR,CCR,3?,3,f,,,jct Lompoc-Casmalia Road x San Antonio Rd (wetland #37),,,
501,MSE 9184,34.413333,119.875556,,CCR,CCR,CCR,3?,3,,,,Devereux Slough,,,
502,MSE 96-78,34.315082,119.094865,,CCR,CCR,CCR,3?,3,m,,,"Santa Paula, Briggs Rd, SP Milling",,,
503,MSE 10001,34.494514,119.330126,,CCR,CCR,CCR,3?,3,,,,"Matilija Creek, 1.8 mi W jct. Hwy. 33 on Matilija Creek Rd.",,,
504,MSE 10002,34.494514,119.330126,,CCR,CCR,CCR,3?,3,,,,"Matilija Creek, 1.8 mi W jct. Hwy. 33 on Matilija Creek Rd.",,,
505,MSE 10120,34.507759,119.577467,,CCR,CCR,CCR,3,3,,,,"W Pendola Guard Station, Santa Ynez River at P-Bar Flat",,,
506,MSE 10906,34.494514,119.330126,,CCR,CCR,CCR,3?,3,,,,"Matilija Creek, 1.8 mi W jct. Hwy. 33 on Matilija Creek Rd.",,,
507,MSE 10907,34.4910299946658,119.54528331,,CCR,CCR,CCR,3?,3,,,,upper Santa Ynez River 0 - 1 1/2 mi W Juncal Campground,,,
508,MSE 10908,34.4910299946658,119.54528331,,CCR,CCR,CCR,3?,3,,,,upper Santa Ynez River 0 - 1 1/2 mi W Juncal Campground,,,
509,MSE 10909,34.5241311121841,119.692482948303,,CCR,CCR,CCR,3?,3,m,,,"Santa Ynez River, 1/2 mi W Gibralter Dam",,,
510,MSE 10910,34.5629798492399,119.660682678222,,CCR,CCR,CCR,3?,3,,,,"Indian Creek, 1.0 - 3.3 air mi. NW Mono Debris Dam",,,
511,MSE 10911,34.5629798492399,119.660682678222,,CCR,CCR,CCR,3?,3,,,,"Indian Creek, 1.0 - 3.3 air mi. NW Mono Debris Dam",,,
512,MSE 10912,34.5629798492399,119.660682678222,,CCR,CCR,CCR,3?,3,m,,,"Indian Creek, 1.0 - 3.3 air mi. NW Mono Debris Dam",,,
513,MSE 10913-SSS 22238,34.5629798492399,119.660682678222,,CCR,CCR,CCR,3?,3,f,,,"Indian Creek, 1.0 - 3.3 air mi. NW Mono Debris Dam",,,
514,MSE 10914,34.529029,119.700302,,CCR,CCR,CCR,3?,3,f,,,"Santa Ynez River, 1 mi W Gibralter Dam",,,
515,MSE 10915,34.946528,120.105929,,CCR,CCR,CCR,1?,1,f,,,"4.0 mi NE Colson Cyn. Rd., Jesse Campground",,,
516,MSE 12155,34.500494,119.565538,,CCR,CCR,CCR,3?,3,,,,1 1/2 - 2 mi E Juncal Campground,,,
517,MSE 12235,34.38,118.954722,,CCR,CCR,CCR,3?,3,m,,,"Santa Clara River at jct. Sespe Creek, '3 air mi SW Fillmore",,,
518,MSE 12236,34.611473,118.769158,,CCR,CCR,CCR,3?,3,m,,,"KDA: ""reconstructed from what is visible on the locality card in the picture; not in spreadsheet I have; anyway, this is LA county, but in a creek that seems to join Piru creek; thus this could really be 3 or 4"" JFP: I don't know what creek this is supposed to be in so I just put the marker near headwtaers of Piru in LA Co.",,,
519,MSE 12487,?,?,,?,?,?,?,,,,,,,,
520,MSE 12758,35.064739,120.172683,,CCR,CCR,CCR,1?,1,f,,,"Cuyama River, '3.9 - 4.4 mi NE jct. Tepusquet Cyn. Rd.",,,
521,MSE 12759-SSS 24366,34.903056,120.3125,,CCR,CCR,CCR,1?,1,m,,,Cuyama River at North Point Bridge GPS IS NOT ACCURATE - Where is North Point Bridge?,,,
522,MSE 12760,34.903056,120.3125,,CCR,CCR,CCR,1?,1,,,,Cuyama River at North Point Bridge GPS IS NOT ACCURATE - Where is North Point Bridge?,,,
523,MSE 12761,34.903056,120.3125,,CCR,CCR,CCR,1?,1,m,,,Cuyama River at North Point Bridge GPS IS NOT ACCURATE - Where is North Point Bridge?,,,
524,MSE 12762,34.574995,119.163852,,CCR,CCR,CCR,3?,3,m,,,"Piedra Blanca Creek, 1 - 1 1/2 mi NW jct. Sespe Creek",,,
525,MSE 12763,34.7047,119.3837,,CCR,CCR,CCR,1?,1,m,,,"Rancho Nuevo Creek at jct. Deal Cyn.KDA: ""this is a tributary of the cuyama river, which I've been calling group 1""",,,
526,MSE 12985,34.411682,119.88296,,CCR,CCR,CCR,3?,3,,,,"Isla Vista, beach 50 m W outlet UCSB lagoon",,,
527,MSE 13103,34.547559,118.769981,,CCR,CCR,CCR,3?,3,,,,"Piru Cyn., 0.4 mi N jct. Agua Blanca Creek, 1.3 air mi NNW Blue Point",,,
528,MSE 13360,34.577047,118.938298,,CCR,CCR,CCR,3?,3,m,,,"N slope above Sespe Creek, 1.3 air mi E jct. Lion Creek, rockfaces",,,
529,MSE 14843-SSS 25868,34.651602,120.312195,,CCR,CCR,CCR,3?,3,,,,"ponds N of Hwy. 246, 7.8 mi WNW Buellton E of Campbell Rd.",,,
530,MSE 15189,34.513927,120.485369,,CCR,CCR,CCR,3?,3,f,,,"Jalama Creek, 1 mi from beach, below bridge",,,
531,MSE 15190,34.7744,119.5737,,CCR,CCR,CCR,1?,1,,,,"Alamo CYN, Big Pine Rds. Santa Barbara Co. KDA: this is a tributary of the cuyama river, which I've been calling group 1",,,
532,MSE 15191,34.7744,119.5737,,CCR,CCR,CCR,1?,1,,,,"Alamo CYN, Big Pine Rds. Santa Barbara Co. KDA: this is a tributary of the cuyama river, which I've been calling group 1",,,
533,MSE 18171,34.50491,120.499387,,CCR,CCR,CCR,3?,3,m,,,"cliffs 10' above beach, 1/2 mi S of Jalama Creek",,,
534,MSE 19558,34.354783,119.31017,,CCR,CCR,CCR,3?,3,m?,,,"1/2 mi SW Casitas Springs, W bank of Ventura River",,,
535,MSE 22297,35.14369,120.02718,,CCR,CCR,CCR,1,1,,,,head of San Juan Creek at Gillam Springs,,,
536,MSE 23547,34.942286,120.11641,,CCR,CCR,CCR,1?,1,,,,"N fork La Brea Creek, 1/2 mi S of Jesse Campground",,,
537,MSE 23548,34.942286,120.11641,,CCR,CCR,CCR,1?,1,m,,,"N fork La Brea Creek, 1/2 mi S of Jesse Campground",,,
538,MSE 23549,34.942286,120.11641,,CCR,CCR,CCR,1?,1,,,,"N fork La Brea Creek, 1/2 mi S of Jesse Campground",,,
539,MSE 23947,35.0211,120.1149,,CCR,CCR,CCR,1?,1,f?,,,"Pine Cyn. (Cuyama drainage), vicinity of Brookshire Springs Campground",,,
540,MSE 23949,34.944761,120.11016,,CCR,CCR,CCR,1?,1,m?,,,"N fork La Brea Creek, 1.1 mi S of Wagon Flat",,,
541,MSE 24965,?,?,,?,?,?,3?,3,f,,,?,,,
542,MSE 25555,35.121268,120.212471,,CCR,CCR,CCR,1?,1,,,,Alamo X Little Jollo Creeks,,,
543,MSE 26399,?,?,,?,?,?,?,,m,,,?,,,
544,MSE 26667,34.354049,19.022393,,CCR,CCR,CCR,3?,3,,,,"Sta Clara, River bed near Timber Cyn.",,,
545,MSE 27621,34.529029,119.700302,,CCR,CCR,CCR,3?,3,,,,1.0 mi. W Gibralter Reservoir Dam,,,
546,MSE 27687,34.537003,118.759076,,CCR,CCR,CCR,3?,3,,,,"Piru Creek, 1/2 mi. N Blue Point Campground",,,
547,MSE 27688,34.537003,118.759076,,CCR,CCR,CCR,3?,3,f,,,"Piru Creek, 1/2 mi. N Blue Point Campground",,,
548,MSE 27691,34.301385,119.111419,,CCR,CCR,CCR,3?,3,m,,,"Santa Clara River, '2-3 mi. E Saticoy near United Water Cons. Dist.",,,
549,MSE 27694,34.507152,119.824972,,CCR,CCR,CCR,3?,3,,,,"Santa Ynez Mtns, upper San Jose Creek 200ft. E west end Kinevan Rd.",,,
550,MSE 27690,34.529029,119.700302,,CCR,CCR,CCR,3?,3,f,,," Santa Ynez River, middle Camuesa vicinity",,,
551,MSE 28423,34.767488,120.522617,,CCR,CCR,CCR,3?,3,m,,,"N. VAFB Purisima Hills, Punchbowl Lake, 10.5 km ENE Purisima Pt",,,
552,MSE 28425,34.776186,120.571241,,CCR,CCR,CCR,3?,3,f,,,"N. VAFB pond at jct El Rancho X El Rancho Lateral Rds., 6.75 km NE Purisima Pt",,,
553,MSE 28447,34.714226,120.502489,,CCR,CCR,CCR,3?,3,m,,,"N. VAFB southermost Lake Cyn lake, 5.25 km ESE Base Post Office",,,
554,MSE 28488,34.777037,120.553927,,CCR,CCR,CCR,3?,3,f,,,"N. VAFB jct, Lompoc-Casmalia Rd. X San Antonio Rd. West, 3.5 air km NE Purisima Pt",,,
555,MSE 29079,34.78531,120.525012,,CCR,CCR,CCR,3?,3,,,,"N VAFB San Antonio Creek 0.4 air mi. ENE jct. San Antonio Rd. West x Richmond Rd., W side Hwy. 1",,,
556,MSE 29080,34.511369,120.501783,,CCR,CCR,CCR,3?,3,,,,"Jalama Beach, Co. Park, mouth of Jalama Creek",,,
557,MSE field # 2065,35.653433,121.219499,,CCR,CCR,CCR,1,1,f,,,San Luis Obispo Arroyo Laguna   jct hwy 1 ,,,
558,MSE No #,34.59927,120.555313,,CCR,CCR,CCR,3?,3,,,,Upper La Honda Creek 1/4 mi. W of E VAFBase border,,,
559,MSE SSS 31498,35.144792,120.181512,,CCR,CCR,CCR,1?,1,m?,,,"Alamo Creek, 1/2 mi. N jct Branch Cyn",,,
560,MSE SSS 31499,35.144792,120.181512,,CCR,CCR,CCR,1?,1,,,,"Alamo Creek, 1/2 mi. N jct Branch Cyn",,,
561,MSE SVC 092,?,?,,?,?,?,?,,m?,,,?,,,
562,SBMNH 241,34.483975,120.23135,,CCR,CCR,CCR,3?,3,F,,,"Turnout .7 mi N of Gaviota State Beach Park, Ocean Side of Highway, Santa Barbara Co.",,,
563,SBMNH 395,34.418927,119.845242,,CCR,CCR,CCR,3?,3,?,,,Goleta Slough (UCSB campus side) Sanata Barbara Co.,,,
564,SBMNH 401,?,?,,?,?,?,?,,M,,,?,,,
565,SBMNH 422,34.275348,119.309413,,CCR,CCR,CCR,3?,3,F,,,"Ventura City Beach, Ventura Co.",,,
566,SBMNH 442,?,?,,?,?,?,?,,J,,,?,,,
567,SBMNH 476,34.048081,120.428483,,?,?,?,?,,F,,,"San Miguel Isl., on shore adj. to Catle Rock, covered with tar, Found dead on the beach, Santa Barbara Co.; because this is pretty far offshore, it presumably washed in from somewhere, so it isn't really traceable",,,
568,SBMNH 563,34.473663,120.22942,,CCR,CCR,CCR,3?,3,J,,,Gaviota State Beach crossing thge creek near entrance to the Hollister Ranch Snta Barbara Co.,,,
569,SBMNH 592,34.476869,118.943411,,CCR,CCR,CCR,3?,3,hatchling,,,"Sespe Creek, Ventura Co. GPS is approximate",,,
570,SBMNH 609,?,?,,,,,?,,M,,,?,,,
571,SBMNH 610,?,?,,,,,?,,F,,,?,,,
572,SBMNH 690,?,?,,,,,?,,J,,,?,,,
573,SBMNH 1079,34.471469,120.271387,,CCR,CCR,CCR,3?,3,hatchling,,,"Santa Anita Canyon, Lagoon Hollister Ranch, Santa Barbara Co. JFP: GPS placed at lagoon on Hollister Ranch, could not find Anta Anita Canyon placeneame here",,,
574,SBMNH 1271,34.523805,119.629822,,CCR,CCR,CCR,3?,3,?,,,Mono Creek ~0.3 mi above jct with Santa Ynez River found ~15 feet away from the water headed into a dense clump of willows. Santa Bartbara Co.,,,
575,SBMNH 1440,34.511994,120.467693,,CCR,CCR,CCR,3?,3,F,,,"Bixby Ranch, Jalama Creek, .5 mi W Jalama Ranch Haf[??] below jct. Escondido Creek. Santa Barbara Co.",,,
576,SBMNH 1607,34.4083,119.7154,,CCR,CCR,CCR,3?,3,hatchling,,,"(Note: Honda Crk. Does not cross hwy 101…) Honda Creek, 0.7 mi above jct with highway 101, R17E, T5N, Sec 29, Elev 180 Feet Santa Barbara Co.",,,
577,SBMNH 2696,?,?,,?,?,?,?,,M?,,,SBMNH education Dept.; presumably captive,,,
578,SBMNH 3271,?,?,,CCR,CCR,CCR,3?,3,F,,,"Las Flores Ranch, Canada del las Flores  .3 mi SSE of Old Ranch",,,
579,SBMNH 1900,?,?,,?,?,?,?,,,,,"Child's Estate Zoo, Santa Barbara Co.\, CA; presumably a captive",,,
580,SDMNH 2017,33.118661,117.085695,,pall,pall,pall,4,4,j,,,"Escondido, San Diego Co.",,,
581,SDMNH 2018,33.118661,117.085695,,pall,pall,pall,4,4,j,,,"Escondido, San Diego Co.",,,
582,SDMNH 2540,32.7173,116.7747,,pall,pall,pall,4,4,j,,,"Lyons Valley, San Diego Co.",,,
583,SDMNH 2541,32.7173,116.7747,,pall,pall,pall,4,4,j,,,"Lyons Valley, San Diego Co.",,,
584,SDMNH 11904,33.118661,117.085695,,pall,pall,pall,4,4,j,,,"Escondido, San Diego Co.",,,
585,SDMNH 11905,33.118661,117.085695,,pall,pall,pall,4,4,j,,,"Escondido, San Diego Co.",,,
586,SDMNH 11906,33.118661,117.085695,,pall,pall,pall,4,4,j,,,"Escondido, San Diego Co.",,,
587,SDMNH 11907,33.118661,117.085695,,pall,pall,pall,4,4,j,,,"Escondido, San Diego Co.",,,
588,SDMNH 11996,33.118661,117.085695,,pall,pall,pall,4,4,j,,,"Escondido, San Diego Co.",,,
589,SDMNH 11997,33.118661,117.085695,,pall,pall,pall,4,4,j,,,"Escondido, San Diego Co.",,,
590,SDMNH 11998,33.118661,117.085695,,pall,pall,pall,4,4,j,,,"Escondido, San Diego Co.",,,
591,SDMNH 11999,33.118661,117.085695,,pall,pall,pall,4,4,j,,,"Escondido, San Diego Co.",,,
592,SDMNH 14217,32.604957,116.612482,,pall,pall,pall,4,4,m,,,"Potrero, San Diego Co.",,,
593,SDMNH 14218,32.604957,116.612482,,pall,pall,pall,4,4,m,,,"Potrero, San Diego Co.",,,
594,SDMNH 14219,32.604957,116.612482,,pall,pall,pall,4,4,f,,,"Potrero, San Diego Co.",,,
595,SDMNH 14220,32.604957,116.612482,,pall,pall,pall,4,4,j,,,"Potrero, San Diego Co.",,,
596,SDMNH 14221,32.604957,116.612482,,pall,pall,pall,4,4,j,,,"Potrero, San Diego Co.",,,
597,SDMNH 15564,32.789306,117.077469,,pall,pall,pall,4,4,j,,,"Adobe Falls, San Diego Co.",,,
598,SDMNH 17135,34.904927,116.732036,,pall,pall,pall,4,4,m,,,"Mohave River, 5 mi E of Yermo",,,
599,SDMNH 17136,34.904927,116.732036,,pall,pall,pall,4,4,m,,,"Mohave River, 5 mi E of Yermo",,,
600,SDMNH 19222,?,?,,pall,pall,pall,4,4,m,,,"Rancho de las Cruces Spring, tributary of Rio San Vincente del Norte",,,
601,SDMNH 31992,38.685173,121.444354,,marm,marm,marm,1,1,j,,,"Rio Linda, CA",,,
602,SDMNH 32871,38.703887,121.413609,,marm,marm,marm,1,1,j,,,"2 mi NW of Rio Linda, CA",,,
603,SDMNH 35439,36.855397,119.313567,,marm,marm,SJ,2?,2,j,,,"King's River Hatchery (DEFUNCT), E of Fresno. LAT/LONG is just somewhere in  King's valley and is not supposed to be accurate",,,
604,SDMNH 43635,32.154727,115.789368,,pall,pall,pall,4,4,f,,,"Guadalupe Hot Springs, 9.5 mi E of Guadalupe, Baja California Norte",,,
605,SDMNH 46018,33.323755,117.494948,,pall,pall,pall,4,4,f,,,"In an inlet called the barn, 11 mi N of Oceanside, (actial plots and lat/long are guess)",,,
606,SDMNH 46019,33.323755,117.494948,,pall,pall,pall,4,4,f,,,"In an inlet called the barn, 11 mi N of Oceanside, (actial plots and lat/long are guess)",,,
607,SDMNH 46020,33.323755,117.494948,,pall,pall,pall,4,4,f,,,"In an inlet called the barn, 11 mi N of Oceanside, (actial plots and lat/long are guess)",,,
608,SDMNH 46021,33.323755,117.494948,,pall,pall,pall,4,4,m,,,"In an inlet called the barn, 11 mi N of Oceanside, (actial plots and lat/long are guess)",,,
609,SDMNH 46098,33.045501,117.228007,,pall,pall,pall,4,4,m,,,1 mi E of Encinitas,,,
610,SDMNH 46798,?,?,,pall,pall,pall,4,4,f,,,"20 mi. S. of Valle de Trinidad, Rancho Carrizo, Baja California Norte",,,
611,SDMNH 52843,32.095956,116.851587,,pall,pall,pall,4,4,j,,,"small rock pool, La Mision, Baja California Norte",,,
612,SDMNH 58516,34.724118,120.509087,,CCR,CCR,CCR,3?,3,m,,,"upper Pine Canyon Lake, Vandenberg Airforce Base",,,
613,SDMNH 58517,34.724118,120.509087,,CCR,CCR,CCR,3?,3,m,,,"upper Pine Canyon Lake, Vandenberg Airforce Base",,,
614,SDMNH 59680,34.781008,120.588676,,CCR,CCR,CCR,3?,3,f,,,"Vandenberg Air Force Base, Lat Long is just paced somewhere on the base NOT ACCURATE",,,
615,SDMNH 60267,34.781008,120.588676,,CCR,CCR,CCR,4,4,j,,,"Vandenberg Air Force Base, Lat Long is just paced somewhere on the base NOT ACCURATE",,,
616,SDMNH 62528,34.984809,120.388343,,CCR,CCR,CCR,1?,1,f,,,"Suey Ranch, 2 km N of Cuyama River, ",,,
617,SDMNH 64415,34.781008,120.588676,,CCR,CCR,CCR,3?,3,m,,,"Vandenberg Air Force Base, Lat Long is just paced somewhere on the base NOT ACCURATE",,,
618,SDMNH 68948,32.968702,116.680933,,pall,pall,pall,4,4,f,,,"Boulder Creek; Devil's Punchbowl, San Diego Co.",,,
619,SDMNH 68966,32.682,116.6253,,pall,pall,pall,4,4,f,,,"Hauser Canyon, San Diego Co.",,,
620,LACM 1014,?,?,,?,?,?,?,,f,,,? Not on LACM Spreadsheet,,,
621,LACM 1015,?,?,,?,?,?,?,,m,,,? Not on LACM Spreadsheet,,,
622,LACM 7995,40.866578,124.082986,,marm,marm,marm,1,1,m,,,"Arcata, Himboldt Co.",,,
623,LACM 7996,34.425477,118.930212,,CCR,CCR,CCR,3?,3,f,,,"Sespe Creek, 2 mi N Fillmore, Ventura Co.- coords for a point on sespe creek approx 3 miles north of center of filmore",,,
624,LACM 7997,34.905501,116.820233,,pall,pall,pall,4,4,j,,,"Yermo, CA coords are approx ",,,
625,LACM 7999,34.055299,118.244647,,pall,pall,pall,4,4,f,,,"""Los Angeles""",,,
626,LACM 8000,33.787222,118.2925,,pall,pall,pall,4,4,j,,,"""Nigger Slough"" Los Angeles, thankfully renamed to Harbor Lake",,,
627,LACM 23487,35.254954,120.271927,,CCR,CCR,CCR,1,1,f,,,"Los Padres Natl. Forest; 2 mi. S of American Canyon Public Camp, San Luis Obispo",,,
628,LACM 23488,34.907827,120.230385,,CCR,CCR,CCR,1?,1,m,,,"Tepusquet Canyon; 8.5 mi. N. of Sisquoc; River, Santa Barbara Co.",,,
629,LACM 23489,34.8149809,120.2173754,,CCR,CCR,CCR,1?,1,j,,,"Tepusquet Canyon (??? Monument is not in Tepusquet CYN [JFP]); 5 mi. South Sisquoc; 500 yards S. Fremont-Foxen Monuement, Santa Barbara Co. ",,,
630,LACM 23490,34.0903,118.6051,,pall,pall,pall,4,4,j,,,"Santa Monica Mts.; Old Tapanga Canyon, LA Co.",,,
631,LACM 23491,34.453533,118.924763,,CCR,CCR,CCR,3?,3,f,,,"Sespe River(near Pine Creek), Ventura Co. (JFP: there is no Pine Creek in Ventura Co. Coords are just somewhere in the Sespe)",,,
632,LACM 23492,34.1403,118.8587,,CCR,CCR,CCR,4?,4,f,,,"Santa Monica Mtns.; Lake Sherwood, Ventura Co.",,,
633,LACM 23524,34.09476,118.62052,,pall,pall,pall,4,4,m,,,"Junction Alhambra Wash - Rio Hondo, LA Co. (GPS placed in Hondo Valley)",,,
634,LACM 27646,34.476869,118.943411,,CCR,CCR,CCR,3?,3,f,,,"Sespe Creek Rancho, Ventura Co. GPS is approximate (General Sespe Crk Locality)",,,
635,LACM 27647,34.476869,118.943411,,CCR,CCR,CCR,3?,3,j,,,"Sespe Creek Rancho, Ventura Co. GPS is approximate (General Sespe Crk Locality)",,,
636,LACM 27648,34.476869,118.943411,,CCR,CCR,CCR,3?,3,j,,,"Sespe Creek Rancho, Ventura Co. GPS is approximate (General Sespe Crk Locality)",,,
637,LACM 27650,33.9347,117.7926,,pall,pall,pall,4,4,j,,,"Carbon Canyon, nr. La Vida Springs",,,
638,LACM 27651,33.9347,117.7926,,pall,pall,pall,4,4,f,,,"Carbon Canyon, nr. La Vida Springs",,,
639,LACM 61184,34.476869,118.943411,,CCR,CCR,CCR,3?,3,f,,,Sespe Ck. 4 mi N. Fillmore (put at Sespe general marker),,,
640,LACM 67413, 34.512975 120.497326,,,CCR,CCR,CCR,3?,3,f,,,1/4 mi. from mouth of Jalama Ck.,,,
641,LACM 74387, 34.512975 120.497326,,,CCR,CCR,CCR,4,4,j,,,1/4 mi. from mouth of Jalama Ck.,,,
642,LACM 74388,34.5611,119.164,,CCR,CCR,CCR,3?,3,m,,,"Lion Canyon Public Camp, Ventura Co.",,,
643,LACM 105315,33.522585,117.70769,,pall,pall,pall,4,4,m,,,"Irvine Ranch, Laguna Niguel, 5.5 mi E Pacific Coast Hwy (101), Orange Co.",,,
644,LACM 105309,33.802574,118.094116,,pall,pall,pall,4,4,m,,,"San Gabriel River, E city limits of Long Beach",,,
645,LACM 105310,33.748557,117.993951,,pall,pall,pall,4,4,j,,,"Westminster, 8.1 mi SW on Hwy 22 on (of?) Edwards, Orange Co. (Lat long placed at Westminster)",,,
646,LACM 105311,33.715697,117.621208,,pall,pall,pall,4,4,j,,,"Harding Canyon Reservoir, Orange Co. (GPS placed at Modjeska Reservoir)",,,
647,LACM 105312,33.715697,117.621208,,pall,pall,pall,4,4,j,,,"Harding Canyon Reservoir, Orange Co. (GPS placed at Modjeska Reservoir)",,,
648,LACM 105313,33.715697,117.621208,,pall,pall,pall,4,4,j,,,"Harding Canyon Reservoir, Orange Co. (GPS placed at Modjeska Reservoir)",,,
649,LACM 105316,33.519714,117.675566,,pall,pall,pall,4,4,m,,,"1.8 mi E Laguna Niguel, Lower Laguna, Orange Co.",,,
650,LACM 105317,33.715697,117.621208,,pall,pall,pall,4,4,j,,,"Harding Canyon, 1 mi NW up fire rd from Tucker Bird Sanctuary, Orange Co.  (GPS placed at Modjeska Reservoir)",,,
651,LACM 105318,33.684476,117.272953,,pall,pall,pall,4,4,m,,,"10.5 mi W Winchester, Riverside Co. (lat/long placed at Canyon Lake)",,,
652,LACM 105319,33.360313,117.283617,,pall,pall,pall,4,4,f,,,"Fallbrook Naval Weapons Station, San Diego Co.",,,
653,LACM 105320,37.002999,121.670181,,CCR,CCR,CCR,1,1,f,,,"3.5 mi W Gilroy on Hwy 152, Santa Clara Co.",,,
654,LACM 105321,34.361424,119.319279,,CCR,CCR,CCR,3?,3,f,,,"near Casitas Lake Dam, ca 1 mi E Hwy 33 on Casitas Vista Rd just past Foster Park, Venturav Co.",,,
655,LACM 105322,31.893969,116.599001,,pall,pall,pall,4,4,m,,,"Punta Santa Tomas, Baja California(GE Marker placed near Ensenadsa, exact point not identified)",,,
656,LACM 105323,?,?,,pall,pall,pall,4,4,f,,,"20 mi S San Matias Pass, Baja California (JFP: This is somewhere between san Felipe and Ensenada on Hwy 3)",,,
657,LACM 105324,33.380553,117.305095,,pall,pall,pall,4,4,f,,,"Fallbrook Naval Weapons Depot; Gate 18 along Santa Margarita River, San Diego Co. (JFP: not sure where Gate 18 is, so placed marker at River in the Depot t grounds)",,,
658,LACM 105325,33.35624,117.312476,,pall,pall,pall,4,4,m,,,"Fallbrook Naval Weapons Depot; 0.25 mi NE water tank in NW section, San Diego Co.",,,
659,LACM 127423,34.386109,118.953664,,CCR,CCR,CCR,3?,3,m,,,"Sespe Creek, 1/2 mi SW St Hwy 126m Ventura Co.",,,
660,LACM 136726,35.6586,120.3702,,CCR,CCR,CCR,1,1,m,,,"Cholame Crk, .25 mi S of Hwy 46 on Bitterwater Valley Rd. {sic}, SLO Co.",,,
661,LACM 136727,35.6586,120.3702,,CCR,CCR,CCR,1,1,f,,,"Cholame Crk, .25 mi S of Hwy 46 on Bitterwater Valley Rd. {sic}, SLO Co.",,,
662,LACM 136728,35.663293,121.211844,,CCR,CCR,CCR,1,1,m,,,"Arroyo Laguna, SLO Co.",,,
663,LACM 136729,35.663293,121.211844,,CCR,CCR,CCR,1,1,f,,,"Arroyo Laguna, SLO Co.",,,
664,LACM 136730,35.642666,121.182429,,CCR,CCR,CCR,1,1,m,,,"Broken Bridge Crk, .25 mi S of entrance to Hearst Castles S.P,, SLO Co.",,,
665,LACM 136731,35.642666,121.182429,,CCR,CCR,CCR,1,1,m,,,"Broken Bridge Crk, .25 mi S of entrance to Hearst Castles S.P,, SLO Co.",,,
